2024-11-12-12-31-56-398702 KeyEvent {"id":2331720998820597152,"timestamp":1731414716.3881557,"source":43012487411096569512084431399159522453,"key":"down","keycode":1073741905,"status":1}
2024-11-12-12-31-56-399704 RenderEvent {"id":2331721001066930924,"timestamp":1731414716.3891551,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-399704 TargetMoveAction {"id":2331721044534594259,"timestamp":1731414716.3997037,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.352536678314209}
2024-11-12-12-31-56-422412 RenderEvent {"id":2331721099856679818,"timestamp":1731414716.4128566,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-422412 TargetMoveAction {"id":2331721141744521868,"timestamp":1731414716.4224124,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.1354327201843262}
2024-11-12-12-31-56-442816 RenderEvent {"id":2331721201003958699,"timestamp":1731414716.4368327,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-442816 TargetMoveAction {"id":2331721228492168196,"timestamp":1731414716.4428165,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.020205020904541}
2024-11-12-12-31-56-459569 RenderEvent {"id":2331721278726732433,"timestamp":1731414716.4545784,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-460464 TargetMoveAction {"id":2331721304241699619,"timestamp":1731414716.4604645,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-0.8823990821838379}
2024-11-12-12-31-56-479630 RenderEvent {"id":2331721358826109213,"timestamp":1731414716.4725766,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-479630 TargetMoveAction {"id":2331721386971965273,"timestamp":1731414716.4796298,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-0.9582638740539551}
2024-11-12-12-31-56-499685 RenderEvent {"id":2331721448887799980,"timestamp":1731414716.4931736,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-499685 TargetMoveAction {"id":2331721473472609246,"timestamp":1731414716.499685,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.0027647018432617}
2024-11-12-12-31-56-517769 RenderEvent {"id":2331721530853799314,"timestamp":1731414716.512259,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-517769 TargetMoveAction {"id":2331721551011758503,"timestamp":1731414716.5177689,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-0.9041905403137207}
2024-11-12-12-31-56-532787 RenderEvent {"id":2331721595991291834,"timestamp":1731414716.5287888,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-534407 TargetMoveAction {"id":2331721623739910267,"timestamp":1731414716.534291,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-0.826108455657959}
2024-11-12-12-31-56-553261 RenderEvent {"id":2331721674190141349,"timestamp":1731414716.546273,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-553261 TargetMoveAction {"id":2331721706909889231,"timestamp":1731414716.5532613,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-0.9485125541687012}
2024-11-12-12-31-56-577123 RenderEvent {"id":2331721768245311909,"timestamp":1731414716.5680437,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-577123 TargetMoveAction {"id":2331721809042986681,"timestamp":1731414716.5771234,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.1931061744689941}
2024-11-12-12-31-56-600603 RenderEvent {"id":2331721870948451052,"timestamp":1731414716.5920827,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-601603 TargetMoveAction {"id":2331721912132731551,"timestamp":1731414716.6016028,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.2239694595336914}
2024-11-12-12-31-56-624476 RenderEvent {"id":2331721969361096761,"timestamp":1731414716.614453,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-624476 TargetMoveAction {"id":2331722008825845722,"timestamp":1731414716.624476,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.14365816116333}
2024-11-12-12-31-56-646926 RenderEvent {"id":2331722068090753313,"timestamp":1731414716.6373653,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-646926 TargetMoveAction {"id":2331722105122316803,"timestamp":1731414716.646926,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.1224985122680664}
2024-11-12-12-31-56-668316 RenderEvent {"id":2331722160694281436,"timestamp":1731414716.6591501,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-669318 TargetMoveAction {"id":2331722200093161517,"timestamp":1731414716.6683164,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.0695219039916992}
2024-11-12-12-31-56-692384 RenderEvent {"id":2331722256305098615,"timestamp":1731414716.6818376,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-692384 TargetMoveAction {"id":2331722302406037205,"timestamp":1731414716.6923845,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.2034058570861816}
2024-11-12-12-31-56-712533 RenderEvent {"id":2331722357790216626,"timestamp":1731414716.7055283,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-712533 TargetMoveAction {"id":2331722388905690402,"timestamp":1731414716.7125332,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.0074377059936523}
2024-11-12-12-31-56-732463 RenderEvent {"id":2331722450116667393,"timestamp":1731414716.7264478,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-732463 TargetMoveAction {"id":2331722476152491997,"timestamp":1731414716.732463,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-0.9964823722839355}
2024-11-12-12-31-56-750557 RenderEvent {"id":2331722526274725014,"timestamp":1731414716.744535,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-750557 TargetMoveAction {"id":2331722552204581942,"timestamp":1731414716.7505574,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-0.9047269821166992}
2024-11-12-12-31-56-768594 RenderEvent {"id":2331722602750440338,"timestamp":1731414716.7629526,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-768594 TargetMoveAction {"id":2331722630722384655,"timestamp":1731414716.768594,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-0.9018301963806152}
2024-11-12-12-31-56-788649 RenderEvent {"id":2331722679792377313,"timestamp":1731414716.780758,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-788649 TargetMoveAction {"id":2331722715483745467,"timestamp":1731414716.7886486,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.0027289390563965}
2024-11-12-12-31-56-807251 RenderEvent {"id":2331722764871322882,"timestamp":1731414716.8007255,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-807251 TargetMoveAction {"id":2331722794914913862,"timestamp":1731414716.8072507,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-0.9301066398620605}
2024-11-12-12-31-56-829088 RenderEvent {"id":2331722855862046110,"timestamp":1731414716.8210232,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-829088 TargetMoveAction {"id":2331722892874028285,"timestamp":1731414716.829088,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.0918617248535156}
2024-11-12-12-31-56-844829 RenderEvent {"id":2331722936829549757,"timestamp":1731414716.8403275,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-844829 TargetMoveAction {"id":2331722953609133403,"timestamp":1731414716.8448286,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-0.7870316505432129}
2024-11-12-12-31-56-844829 TargetMoveAction {"id":2331722953274539783,"timestamp":1731414716.8448286,"source":43012538167128527044190751694526269170,"direction":[-0.37745053378379556,-0.9260297481972855],"speed":10.0}
2024-11-12-12-31-56-862265 RenderEvent {"id":2331723009778034735,"timestamp":1731414716.8572545,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-862265 TargetMoveAction {"id":2331723033996614016,"timestamp":1731414716.8622646,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-0.8718013763427734}
2024-11-12-12-31-56-880113 RenderEvent {"id":2331723082597495720,"timestamp":1731414716.8745456,"source":43012487411096569512084431399159522453}
